input,version,avg_ms,bytes_out
test_input_large.txt,normalize0,2389.77,21160531
test_input_large.txt,normalize1,2462.3,21160531
test_input_large.txt,normalize2,2398.46,21160531
test_input_large.txt,normalize3,1165.8,21160531
test_input_large.txt,normalize4,3358.93,21160531
test_input_large.txt,normalize5,1571.24,21160531
test_input_large.txt,normalize6,2172.84,21160531
test_input_low_mod.txt,normalize0,1648.64,17039994
test_input_low_mod.txt,normalize1,1711.39,17039994
test_input_low_mod.txt,normalize2,1677.37,17039994
test_input_low_mod.txt,normalize3,818.25,17039994
test_input_low_mod.txt,normalize4,2289.03,17039994
test_input_low_mod.txt,normalize5,1142.8,17039994
test_input_low_mod.txt,normalize6,1543.05,17039994
test_input_mid_mod.txt,normalize0,1610.87,16199994
test_input_mid_mod.txt,normalize1,1652.1,16199994
test_input_mid_mod.txt,normalize2,1618.9,16199994
test_input_mid_mod.txt,normalize3,784.606,16199994
test_input_mid_mod.txt,normalize4,2183.81,16199994
test_input_mid_mod.txt,normalize5,1096.88,16199994
test_input_mid_mod.txt,normalize6,1499.31,16199994
test_input_high_mod.txt,normalize0,1571.24,15359994
test_input_high_mod.txt,normalize1,1609.7,15359994
test_input_high_mod.txt,normalize2,1578.2,15359994
test_input_high_mod.txt,normalize3,740.106,15359994
test_input_high_mod.txt,normalize4,2105.61,15359994
test_input_high_mod.txt,normalize5,1072.02,15359994
test_input_high_mod.txt,normalize6,1477.61,15359994
