n,version,avg_ms,best_ms,gflops_avg,gflops_best,max_diff,residual,status
256,gauss0,2.24187,2.20085,5.00355,5.0968,0,3.04639e-15,OK
256,gauss1,1.90995,1.88797,5.87307,5.94143,0,2.93949e-15,OK
256,gauss2,0.99879,0.963168,11.2309,11.6462,1.73472e-18,2.93754e-15,OK
512,gauss0,18.7624,18.0602,4.776,4.96169,0,3.93468e-15,OK
512,gauss1,16.1834,15.7328,5.5371,5.69568,0,3.93555e-15,OK
512,gauss2,9.41405,9.29399,9.51864,9.6416,1.0842e-18,4.04635e-15,OK
1024,gauss0,145.489,139.057,4.92375,5.15147,0,5.96723e-15,OK
1024,gauss1,124.713,121.394,5.74401,5.90105,0,5.97151e-15,OK
1024,gauss2,72.2357,69.7555,9.91686,10.2695,6.50521e-19,5.97699e-15,OK
2048,gauss0,1898.67,1865.91,3.01722,3.0702,0,1.02882e-14,OK
2048,gauss1,1850.75,1791.48,3.09535,3.19775,0,1.02884e-14,OK
2048,gauss2,1473.57,1445.44,3.88765,3.9633,3.25261e-19,1.01782e-14,OK
